Date,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CS,CS,CS,CS,EG,EG,EG,EG,EG,EG,EG,EG,EG,EG,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,HC,,IT,IT,IT,IT,IT,IT,IT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,MT,TC,TC,TC,TC,TC,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT
2/1/01,11.24287,32.273552,8.274728,6.149039,9.798118,13.734363,9.161448,7.762812,21.859497,5.644495,18.62114,25.209288,5.790591,31.916565,22.315624,16.396605,38.687725,19.540775,26.326675,12.7702,24.231636,26.977005,14.535967,20.155804,12.561277,5.438097,8.986699,9.921868,20.310316,9.607275,40.726147,350.311096,20.518526,19.590815,36.710434,14.372393,18.117477,9.576299,5.60129,9.92617,13.320933,17.097458,11.249693,48.25655,14.151019,9.250815,55.380199,13.726898,19.911182,26.140959,35.384235,37.59148,39.608768,14.066186,33.245983,52.656609,46.220875,48.07383,10.438923,21.099569,115.833328,24.169344,0.716503,33.770638,58.145924,35.375,16.448107,35.823055,2.047964,10.743797,58.304047,25.488098,2.398517,10.261407,2.261032,26.07848,17.439747,8.092405,14.458093,23.336153,14.995196,14.644711,35.036709,17.123999,49.964333,17.291985,22.00613,20.915049,21.38748,18.550411,14.307067,22.157801,18.123287,19.837383,5.655589,21.547441,9.034037,6.674492,13.5174
3/1/01,11.71792,35.459141,9.400874,6.631729,10.386696,14.980721,10.850425,8.182118,21.981842,5.833513,19.647869,27.483816,5.915935,33.43639,21.030659,16.396605,36.960205,19.0387,24.58395,12.43451,23.297619,25.272697,14.338532,19.082417,12.042362,5.31644,8.664759,9.217041,21.048244,10.2452,41.46664,381.093262,19.585865,20.332418,37.960148,14.853608,18.84868,10.53016,5.819239,10.177468,13.36512,16.839901,11.530234,49.866779,13.83859,9.464624,59.068523,13.229135,19.830015,25.280745,33.192127,36.625137,39.636539,13.595351,32.186687,49.671295,45.77383,46.07074,9.857512,21.381771,110.5,23.910978,0.788756,39.159588,69.272591,42,16.635012,38.868736,2.490768,11.00584,58.811668,25.685066,2.543573,10.50051,2.209499,26.044527,17.670572,8.356285,14.547334,24.297712,14.577204,14.664857,35.653084,18.017429,50.449432,19.306105,22.27916,22.111689,20.536669,18.550411,13.113067,21.494383,16.807032,18.954945,5.503054,20.240662,8.753913,6.579681,13.039963
4/1/01,11.541977,37.443596,9.841538,6.841593,10.490566,15.347294,10.978376,8.782744,21.533234,5.983423,20.114557,28.005049,6.026436,33.985237,19.53153,15.578718,35.182358,18.496464,23.422142,12.28065,22.80418,23.957933,14.289173,19.150566,11.684493,5.340773,8.517586,8.918839,21.294209,10.065863,41.651749,386.295868,18.528845,19.745308,38.975567,14.693206,19.376776,10.436673,5.819239,10.069772,13.320933,16.483294,11.880913,48.860378,12.570505,8.922973,55.215046,12.48248,19.045481,24.37274,31.329136,34.015953,35.163918,12.418265,31.494059,46.685978,42.56673,43.938454,9.328959,20.144445,104,24.194342,0.821872,37.453091,66.221718,39.375,18.036844,40.270714,2.878221,12.840145,60.697121,26.039621,2.533455,10.261407,2.21594,26.757605,17.670572,8.539539,14.815082,25.222275,14.315971,15.712341,36.269413,18.166328,54.087608,20.534224,22.606802,22.762028,19.509838,17.061798,12.568432,19.636843,16.107523,17.825413,5.115843,18.701559,8.123631,6.200453,12.114937
5/1/01,11.454004,36.503586,9.156057,6.337917,10.352079,14.882962,10.607314,8.782744,21.492445,5.722709,19.741205,26.29916,5.864809,33.140869,19.788527,15.851352,36.786892,18.536631,25.048672,12.504437,22.980398,24.542273,14.239819,19.593555,11.666594,5.498927,8.517586,9.31192,20.872547,9.965945,40.402199,372.422272,18.870827,19.683506,37.999218,14.564882,19.336155,9.987779,5.666675,9.962071,13.188392,16.602161,11.838831,48.306873,12.644024,8.737673,51.361546,12.712218,18.585575,23.942625,31.950138,35.658779,35.472382,12.830245,31.901482,46.434196,41.740658,43.066139,8.958975,19.836206,110.166672,23.035881,0.788756,34.219707,60.83786,36.5,17.522839,36.59655,2.878221,12.44708,59.971947,25.724463,2.49972,9.663655,2.183731,26.044527,17.61928,8.57619,15.038199,24.556589,14.106983,15.470607,35.036709,17.868513,52.632339,20.435978,21.842323,22.710003,19.157784,17.290813,12.275167,19.86904,15.939312,17.896008,5.244915,19.108114,7.983568,6.105642,12.144775
8/1/01,11.454004,36.294697,9.354026,6.232984,10.317455,14.736335,10.108296,8.890404,21.533234,6.009496,19.647869,26.062231,6.061071,33.056427,20.281094,16.007143,37.513683,18.837872,25.30427,12.518428,22.92754,25.516182,14.437245,19.389097,11.791852,5.438097,8.609567,9.61011,20.661711,9.955701,40.217087,370.254486,18.995178,19.868914,37.647736,14.340313,18.279978,9.912968,5.862827,10.03387,13.188392,16.443678,11.600367,48.407505,12.515378,8.666403,51.691841,13.018538,18.612623,24.133785,32.322727,35.948669,36.690769,12.771391,31.860739,46.470158,41.497704,43.163048,9.249677,19.640839,113,22.627501,0.797787,33.052128,62.453045,36.9375,17.476107,36.354832,2.878221,13.364231,60.552078,25.685066,2.4896,9.703506,2.145082,26.248253,18.029629,8.671482,15.350562,23.669001,14.159217,15.651906,34.65744,17.838728,51.662155,19.649982,22.008287,22.740393,19.480497,17.443493,12.484644,20.068069,16.478634,17.984255,5.37398,19.543703,8.193661,6.143568,12.293974
9/1/01,11.876272,35.720249,9.354026,6.25397,10.213586,15.127345,9.929165,8.62409,21.574011,6.198516,19.181168,26.157,5.978608,32.212086,20.302509,16.474503,37.401863,19.078867,24.746603,12.322612,22.627947,26.100521,15.029549,18.980186,11.917108,5.365103,8.425604,9.474572,20.029215,9.743059,39.337765,362.016907,18.155783,19.745308,37.14003,14.629042,17.792509,9.912968,6.080778,9.818472,13.100023,15.671019,11.221642,47.904308,12.791048,8.595133,54.609493,13.152554,18.82906,24.946209,33.067924,36.576809,36.952961,13.18337,32.084816,48.628231,41.594898,43.421513,9.434669,19.940393,114.833328,22.002434,0.827892,32.962307,59.402161,36.75,16.681746,34.614445,3.154973,12.316057,58.4491,24.779005,2.513213,9.404634,2.09999,25.229578,17.542337,8.546869,15.261316,22.670471,13.897985,15.087886,33.804039,18.047207,53.117397,20.38685,22.804094,23.264366,19.832556,17.367155,12.086641,19.902212,16.686886,17.84306,5.256649,19.340427,8.211169,6.124605,12.383492
10/1/01,11.71792,36.660255,9.354026,6.211997,10.352079,15.591675,10.31302,8.641085,21.655575,6.061641,19.367846,26.109617,5.826874,32.043217,20.045519,16.513454,37.345947,18.998533,24.700136,12.098822,22.592697,26.733545,15.523125,18.894999,12.346553,5.352936,8.333619,9.732106,20.902067,9.907026,39.522892,374.156464,18.093607,19.714418,37.296272,14.725289,18.726822,10.062597,6.233343,9.800523,12.989573,15.433278,11.31983,48.910706,12.570281,8.666403,53.508499,13.008969,18.585575,24.420523,32.757442,36.262745,37.862907,13.536499,31.249592,47.980804,40.914612,43.001518,9.038256,20.426643,118.333328,22.335806,0.797787,35.342422,60.83786,38,17.335932,35.919743,3.376374,14.9365,58.884201,24.897184,2.590803,9.464405,1.526679,25.467272,17.362814,8.840071,15.305942,22.559517,14.054738,14.906581,34.13591,18.166328,54.330154,21.320227,22.996185,23.552549,19.539179,17.252645,11.898123,19.769533,15.819165,17.61363,5.244915,19.19524,8.088615,6.143568,12.293974
11/1/01,11.981838,37.652477,9.40352,6.170025,10.317455,15.445051,10.223454,8.505095,21.329321,6.022532,19.227839,25.35145,5.625664,33.183094,19.638617,16.046085,37.122322,18.436213,24.746603,12.224699,22.962786,26.928341,15.843953,19.269835,12.561277,5.340773,8.379613,9.62367,20.902067,9.953136,39.615433,381.526855,17.90707,19.281805,37.100967,14.564882,18.767443,10.21223,6.146163,9.549229,12.790752,15.611581,11.179555,48.608784,12.422611,8.181767,53.398392,12.961099,18.612623,25.328526,32.043293,36.649288,35.901119,13.30108,30.129171,46.973698,41.108971,42.193836,9.223248,20.548201,116,23.477598,0.867029,37.318363,63.529819,41,17.38265,38.385292,3.487075,14.281386,56.781181,23.99111,2.567189,9.544108,1.475146,24.448565,17.388451,8.546869,15.350562,22.337626,13.845739,14.463414,34.13591,18.583256,54.81525,21.958855,22.996185,23.369162,18.688374,16.718271,10.871696,18.011505,15.127665,16.21936,5.139312,18.817713,7.650917,5.934989,11.727015
12/1/01,12.22374,37.913601,9.799457,6.337917,10.940653,15.27398,10.31302,8.476766,21.941055,5.885656,19.741205,26.39393,5.683388,32.887562,19.595781,15.968189,36.624767,18.195215,24.188938,12.336599,22.8218,27.171803,15.819273,19.048338,12.382338,5.389433,8.517586,9.474572,20.442299,9.927516,37.301456,368.520142,17.316389,18.6947,35.929371,14.757374,18.523705,9.800743,6.124368,9.423578,12.680298,15.433278,10.941102,47.250145,12.865623,8.424088,52.627697,12.779228,18.531464,24.850634,33.378418,36.818398,35.534081,12.830245,30.821802,46.038567,42.615314,42.096912,9.249677,19.87093,111.666672,23.352583,0.827892,37.722534,63.529819,41.4375,17.008841,37.031654,3.376374,16.377733,57.143776,23.59717,2.516586,9.564031,1.481588,23.46384,17.183281,8.693469,15.529059,21.85685,14.106983,14.463414,34.13591,18.523699,54.81525,21.172852,22.36503,23.264366,19.011091,17.09997,11.395377,18.641733,15.207763,16.484098,5.151045,18.846754,7.86101,6.067722,11.906052
16/01/01,12.562455,38.33139,10.244885,6.295942,11.252253,15.151786,10.133885,8.499433,22.267317,5.807442,20.06789,27.199484,5.881299,32.423172,20.174015,16.318716,37.02169,18.31571,24.212177,12.714251,22.83942,27.366579,16.01671,19.167604,12.239196,5.450266,8.637165,9.826995,20.725233,10.119661,38.412167,379.35907,18.093607,18.787397,36.437069,14.917778,19.458015,10.025189,6.167958,9.638975,12.636115,15.829513,11.3058,48.608784,13.290171,8.794688,54.224129,12.989821,18.856102,25.232952,33.751011,36.166107,35.549492,12.477119,30.699566,47.908886,42.906891,43.066139,9.936795,19.801474,114.166672,23.335918,0.824882,37.767441,61.017307,38.9375,16.868647,36.886612,3.376374,15.460592,60.479568,23.478991,2.462611,9.623808,1.616863,24.312744,16.82423,8.708127,15.752178,22.26366,14.106983,14.846153,35.131577,18.315231,54.572685,21.025473,21.980846,22.792788,19.099106,16.870947,11.16496,18.24369,14.81796,16.378201,5.068909,18.382118,7.79098,5.934989,11.935896
